name,slug,parent_slug,description
"Landing SEO Voli",landing-seo-voli,,"Categoria madre per pagine SEO dedicate a voli, aeroporti, citta e compagnie."
"Voli da aeroporti italiani",voli-da-aeroporti-italiani,landing-seo-voli,"Pagine SEO dedicate alle partenze dagli aeroporti italiani."
"Voli per citta",voli-per-citta,landing-seo-voli,"Landing page per destinazioni e citta raggiungibili dall'Italia."
"Compagnie aeree",compagnie-aeree,landing-seo-voli,"Schede e guide sulle compagnie aeree."
"Rotte popolari",rotte-popolari,landing-seo-voli,"Contenuti dedicati alle tratte piu cercate dagli utenti italiani."
"Guide voli",guide-voli,landing-seo-voli,"Guide utili per prenotazione, bagagli e check-in."
"Voli da Milano",voli-da-milano,voli-da-aeroporti-italiani,"Partenze dagli aeroporti dell'area di Milano."
"Voli da Roma",voli-da-roma,voli-da-aeroporti-italiani,"Partenze dagli aeroporti dell'area di Roma."
"Voli da Napoli",voli-da-napoli,voli-da-aeroporti-italiani,"Partenze dall'aeroporto di Napoli e dal Sud Italia."
"Voli in Europa",voli-in-europa,voli-per-citta,"Destinazioni europee raggiungibili con voli diretti o con scalo."
"Voli intercontinentali",voli-intercontinentali,voli-per-citta,"Destinazioni extraeuropee per viaggi leisure e business."
"Compagnie low cost",compagnie-low-cost,compagnie-aeree,"Compagnie aeree orientate al prezzo e alle tariffe light."
"Compagnie tradizionali",compagnie-tradizionali,compagnie-aeree,"Compagnie full service e vettori di bandiera."
